City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Opuwo,-18.0607,13.84,71.58,35,89,4.23,NA,1666664760
Hermanus,-34.4187,19.2345,61.81,70,100,10.09,ZA,1666665033
Rikitea,-23.1203,-134.9692,73.35,81,2,15.32,PF,1666665024
Tabou,4.423,-7.3528,76.35,92,38,7.29,CI,1666664613
Thompson,55.7435,-97.8558,30.36,93,100,18.41,CA,1666664633
Puerto Ayora,-0.7393,-90.3518,67.55,89,100,4.0,EC,1666664631
Chumikan,54.7183,135.315,39.9,53,100,27.72,RU,1666664633
Mataura,-46.1927,168.8643,57.47,29,0,0.94,NZ,1666665019
Constitución,-35.3333,-72.4167,51.67,91,100,7.4,CL,1666665199
Lüderitz,-26.6481,15.1594,60.58,76,100,15.12,NA,1666665136
Nome,64.5011,-165.4064,33.87,70,100,6.91,US,1666665161
Port Alfred,-33.5906,26.891,65.17,97,46,5.01,ZA,1666665105
Acajutla,13.5928,-89.8275,79.48,82,27,4.36,SV,1666665200
Ust-Nera,64.5667,143.2,9.36,95,100,6.17,RU,1666665201
Nouakchott,18.0858,-15.9785,76.93,83,100,8.7,MR,1666665146
Port Blair,11.6667,92.75,86.04,79,40,0.0,IN,1666665031
Kutum,14.2,24.6667,66.76,32,4,10.42,SD,1666665202
Boddam,57.4667,-1.7833,48.58,81,78,9.48,GB,1666665202
Hasaki,35.7333,140.8333,57.22,55,100,28.57,JP,1666665202
Saskylakh,71.9167,114.0833,12.2,94,100,9.33,RU,1666665203
Karratha,-20.7377,116.8463,85.86,21,0,1.21,AU,1666665204
East London,-33.0153,27.9116,66.63,87,44,5.48,ZA,1666665204
Kahului,20.8947,-156.47,87.82,61,40,25.32,US,1666665205
Yellowknife,62.456,-114.3525,28.92,74,100,9.22,CA,1666664606
Vila Velha,-20.3297,-40.2925,73.35,91,40,4.61,BR,1666664660
Fukuechō,32.6881,128.8419,64.76,52,75,13.8,JP,1666665205
Ciudad Bolivar,8.1222,-63.5497,81.45,74,99,2.51,VE,1666665206
Atuona,-9.8,-139.0333,76.66,75,2,16.84,PF,1666665206
Ushuaia,-54.8,-68.3,37.06,87,40,24.16,AR,1666665096
Hilo,19.7297,-155.09,80.33,83,75,6.91,US,1666665206
Hong Kong,22.2855,114.1577,78.85,58,98,11.99,HK,1666665005
Chivay,-15.6383,-71.6011,44.22,23,45,2.55,PE,1666665207
Barrow,71.2906,-156.7887,19.42,93,100,24.16,US,1666664981
Kampene,-3.6,26.6667,67.8,97,99,0.94,CD,1666665208
Souillac,-20.5167,57.5167,68.38,83,75,3.44,MU,1666665150
Vaini,-21.2,-175.2,77.16,57,20,12.66,TO,1666665208
Nanortalik,60.1432,-45.2371,32.94,79,99,5.41,GL,1666665209
Qaanaaq,77.484,-69.3632,16.05,71,99,8.19,GL,1666665095
Ilulissat,69.2167,-51.1,26.67,97,100,4.47,GL,1666665209
Nicoya,10.1483,-85.452,74.7,93,99,2.44,CR,1666664745
Port Augusta,-32.5,137.7667,70.83,47,15,7.61,AU,1666664756
Tres Arroyos,-38.3739,-60.2798,69.75,48,99,14.25,AR,1666665210
Guarapari,-20.6667,-40.4975,69.48,95,78,3.94,BR,1666665100
Cidreira,-30.1811,-50.2056,63.57,74,39,10.18,BR,1666664626
Salalah,17.0151,54.0924,75.29,73,0,4.61,OM,1666665210
Moranbah,-22.0016,148.0466,95.67,26,9,15.5,AU,1666665211
Millinocket,45.6573,-68.7098,53.71,100,100,3.44,US,1666664675
Buala,-8.145,159.5921,83.12,75,54,3.94,SB,1666664830
Jamestown,42.097,-79.2353,62.24,84,0,3.44,US,1666664556
Busselton,-33.65,115.3333,65.37,50,55,10.83,AU,1666665212
Lebu,-37.6167,-73.65,50.68,93,100,2.17,CL,1666665212
Shenjiamen,29.9576,122.298,64.56,57,100,15.37,CN,1666665212
Hithadhoo,-0.6,73.0833,81.97,74,13,6.4,MV,1666665213
Codrington,-38.2667,141.9667,61.93,95,100,7.25,AU,1666664614
Kumul,42.8,93.45,53.33,35,1,4.97,CN,1666665213
Tawang Town,27.5833,91.8667,47.52,98,100,3.91,IN,1666665214
São Borja,-28.6606,-56.0044,60.94,67,0,8.23,BR,1666665214
Dikson,73.5069,80.5464,27.14,75,100,19.8,RU,1666664636
Bengkulu,-3.8004,102.2655,76.46,87,100,4.07,ID,1666664631
Ust-Kuyga,70.0167,135.6,17.71,92,100,7.4,RU,1666665215
Bucerías,20.75,-105.3333,80.58,83,20,2.3,MX,1666664916
Westport,41.1415,-73.3579,63.07,92,100,11.5,US,1666664628
Aklavik,68.2191,-135.0107,2.89,99,55,1.72,CA,1666664619
Hobart,-42.8794,147.3294,60.66,96,100,6.91,AU,1666665139
Vanavara,60.34,102.2797,30.07,87,100,14.7,RU,1666665135
Saldanha,-33.0117,17.9442,55.45,82,100,14.18,ZA,1666664705
Cape Town,-33.9258,18.4232,63.09,68,75,12.66,ZA,1666665049
Mānsa,29.9833,75.3833,73.22,30,0,2.89,IN,1666665216
Copiapó,-27.3667,-70.3333,51.49,68,0,2.64,CL,1666665217
Zorritos,-3.6805,-80.6782,68.29,78,93,3.71,PE,1666665217
Castro,-24.7911,-50.0119,59.09,91,56,9.55,BR,1666665217
Cabo San Lucas,22.8909,-109.9124,78.51,65,20,5.75,MX,1666665066
Kapaa,22.0752,-159.319,84.18,77,0,13.8,US,1666665174
Tazovsky,67.4667,78.7,21.24,95,90,1.01,RU,1666665094
Severo-Kuril'sk,50.6789,156.125,39.2,66,51,20.8,RU,1666665139
San Clemente,33.427,-117.612,68.47,44,0,7.0,US,1666665142
San Cristobal,7.7669,-72.225,73.58,95,100,1.23,VE,1666664630
Norman Wells,65.282,-126.8329,21.24,93,100,2.3,CA,1666664656
Berlevåg,70.8578,29.0864,35.6,80,75,18.41,NO,1666664697
Verkhoyansk,67.5447,133.385,25.11,65,100,23.91,RU,1666665219
Tuatapere,-46.1333,167.6833,60.15,42,0,6.17,NZ,1666665219
Ojinaga,29.5667,-104.4167,63.55,25,0,6.91,MX,1666664631
Rāzampeta,14.1833,79.1667,78.15,53,43,2.48,IN,1666665220
Butaritari,3.0707,172.7902,81.59,74,12,11.39,KI,1666665220
Punta Arenas,-53.15,-70.9167,35.71,87,20,9.22,CL,1666664994
Nikolskoye,59.7035,30.7861,26.49,86,99,3.65,RU,1666665221
Faanui,-16.4833,-151.75,78.91,78,100,16.11,PF,1666664640
Sabha,27.0377,14.4283,62.83,53,0,9.22,LY,1666665221
Arraial do Cabo,-22.9661,-42.0278,71.62,86,100,6.8,BR,1666664658
Sarai,53.7458,41.0213,32.99,85,94,5.53,RU,1666665222
São Félix do Xingu,-6.6447,-51.995,73.22,95,70,0.29,BR,1666664792
Albany,42.6001,-73.9662,57.63,94,100,0.98,US,1666665001
Cherskiy,68.75,161.3,4.08,86,45,9.95,RU,1666665129
